full_path,file_name_with_extension,normalized_id,class_label,family_id,duplicate_hash_group,final_decision,final_exclusion_reason,notes
C:\SKIN CANCER v2\DS\NV\ISIC_0063226.jpg,ISIC_0063226.jpg,ISIC_0063226,NV,FAM_ISIC_0063226,89c1771d792f51e4f264623c3b587f8ef88b2019797e7463ba71b7bdf2049a17,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0063659.jpg,ISIC_0063659.jpg,ISIC_0063659,NV,FAM_ISIC_0063659,96332e512671f4bed75bca58945011ed4734a587fdd2d9af6196d04173b9855e,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0064007.jpg,ISIC_0064007.jpg,ISIC_0064007,NV,FAM_ISIC_0064007,4653972726ce6e130a1fad524c31bbdf1601fcf03a7173401fc741c67232f737,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0064545.jpg,ISIC_0064545.jpg,ISIC_0064545,NV,FAM_ISIC_0064545,c65ac4aa969e2d2372eac7e6a09a828632337ee7dfad443977b77f731b327281,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0066326.jpg,ISIC_0066326.jpg,ISIC_0066326,NV,FAM_ISIC_0066326,5987a33a67363646fac9c0db40625fab7aa4f90534265d4263bedb5dcef8c5f0,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0067980.jpg,ISIC_0067980.jpg,ISIC_0067980,NV,FAM_ISIC_0067980,33d39335eecc56d338aafb996cddadfacc26cd92384f2c4a36212e47ab8659c6,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0069013.jpg,ISIC_0069013.jpg,ISIC_0069013,NV,FAM_ISIC_0069013,d541d12ddc9cc7783ecf20e0c565e811e682634be5d8be9decca0032039f8ff8,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0071073.jpg,ISIC_0071073.jpg,ISIC_0071073,NV,FAM_ISIC_0071073,96332e512671f4bed75bca58945011ed4734a587fdd2d9af6196d04173b9855e,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0071850.jpg,ISIC_0071850.jpg,ISIC_0071850,NV,FAM_ISIC_0071850,4653972726ce6e130a1fad524c31bbdf1601fcf03a7173401fc741c67232f737,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0071855.jpg,ISIC_0071855.jpg,ISIC_0071855,NV,FAM_ISIC_0071855,22c8787f9a26edd86ed6768bac45c4f9f96b97d991c2752b006a2a158025937d,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0072076.jpg,ISIC_0072076.jpg,ISIC_0072076,NV,FAM_ISIC_0072076,452fa99d942ec7196cc9f93e51d824aa857a300a03898ac20ce9f7ce10aa7dd8,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0072272.jpg,ISIC_0072272.jpg,ISIC_0072272,NV,FAM_ISIC_0072272,0df3bf026e6c40ec426cd9b4e03350b1712308bb23bee3017cf984565ef67c90,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0053812.jpg,ISIC_0053812.jpg,ISIC_0053812,MEL,FAM_ISIC_0053812,188c197d8d15a592f92028f314e0501f791630694f8545f5830ec788e789796f,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0054334.jpg,ISIC_0054334.jpg,ISIC_0054334,MEL,FAM_ISIC_0054334,d5c6922eee79d2ace987b32ca32f97282a1a3f842a06b506475b79c6635a36b0,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0054763.jpg,ISIC_0054763.jpg,ISIC_0054763,MEL,FAM_ISIC_0054763,922a921c8476dcdfa67ef128cc60ed8e9b332aed881966cfbfd311aee638872c,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0054802.jpg,ISIC_0054802.jpg,ISIC_0054802,MEL,FAM_ISIC_0054802,922a921c8476dcdfa67ef128cc60ed8e9b332aed881966cfbfd311aee638872c,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0055643.jpg,ISIC_0055643.jpg,ISIC_0055643,MEL,FAM_ISIC_0055643,09592aaad157daeabf076d5fbd95e744277846332fcb16c274a6197ea22f72f6,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0056130.jpg,ISIC_0056130.jpg,ISIC_0056130,MEL,FAM_ISIC_0056130,d5c6922eee79d2ace987b32ca32f97282a1a3f842a06b506475b79c6635a36b0,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0056728.jpg,ISIC_0056728.jpg,ISIC_0056728,MEL,FAM_ISIC_0056728,66e1f63bdd1a200986351bc6477d0b2afa6cf2fbb935f86836ab744010826bd0,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0058770.jpg,ISIC_0058770.jpg,ISIC_0058770,MEL,FAM_ISIC_0058770,caaddc4c7681a53ea3f245b88a598e93d08aa86f203b3dd5fa5e34bb5bffa0e7,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0061710.jpg,ISIC_0061710.jpg,ISIC_0061710,MEL,FAM_ISIC_0061710,0984ba616fe559a6f5d74406033986c6186749ebeea8ac70a407f5893a6084b8,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0062983.jpg,ISIC_0062983.jpg,ISIC_0062983,MEL,FAM_ISIC_0062983,05ead71e0b37d218ff6ac90026d6e8d80b170a28ed586e8220bd4c81f7815639,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0064339.jpg,ISIC_0064339.jpg,ISIC_0064339,MEL,FAM_ISIC_0064339,05ead71e0b37d218ff6ac90026d6e8d80b170a28ed586e8220bd4c81f7815639,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0065417.jpg,ISIC_0065417.jpg,ISIC_0065417,MEL,FAM_ISIC_0065417,09592aaad157daeabf076d5fbd95e744277846332fcb16c274a6197ea22f72f6,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0067502.jpg,ISIC_0067502.jpg,ISIC_0067502,MEL,FAM_ISIC_0067502,33d39335eecc56d338aafb996cddadfacc26cd92384f2c4a36212e47ab8659c6,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0068343.jpg,ISIC_0068343.jpg,ISIC_0068343,MEL,FAM_ISIC_0068343,66e1f63bdd1a200986351bc6477d0b2afa6cf2fbb935f86836ab744010826bd0,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0071017.jpg,ISIC_0071017.jpg,ISIC_0071017,MEL,FAM_ISIC_0071017,d541d12ddc9cc7783ecf20e0c565e811e682634be5d8be9decca0032039f8ff8,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0071101.jpg,ISIC_0071101.jpg,ISIC_0071101,MEL,FAM_ISIC_0071101,188c197d8d15a592f92028f314e0501f791630694f8545f5830ec788e789796f,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0073018.jpg,ISIC_0073018.jpg,ISIC_0073018,MEL,FAM_ISIC_0073018,0984ba616fe559a6f5d74406033986c6186749ebeea8ac70a407f5893a6084b8,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\MEL\ISIC_0073173.jpg,ISIC_0073173.jpg,ISIC_0073173,MEL,FAM_ISIC_0073173,caaddc4c7681a53ea3f245b88a598e93d08aa86f203b3dd5fa5e34bb5bffa0e7,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\BCC\ISIC_0054074.jpg,ISIC_0054074.jpg,ISIC_0054074,BCC,FAM_ISIC_0054074,6f7514fe782e1f1473bfc6fb0c8541ea824c2ebd6706d9d4cc293fbb859a1716,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\BCC\ISIC_0054075.jpg,ISIC_0054075.jpg,ISIC_0054075,BCC,FAM_ISIC_0054075,da1e10a8e4b724e0841e486c485df08a4e1f06b6b46e4f51238321de02586a39,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\BCC\ISIC_0054113.jpg,ISIC_0054113.jpg,ISIC_0054113,BCC,FAM_ISIC_0054113,243f7285d969cb5f05ed9684ee96580393a049b885ed8479da987cbab24012b8,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\BCC\ISIC_0054986.jpg,ISIC_0054986.jpg,ISIC_0054986,BCC,FAM_ISIC_0054986,655ca6a8abb8b3c9d9d99d9f57dc699b4646e9e48a5ea43232a9932551086d67,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\BCC\ISIC_0061437.jpg,ISIC_0061437.jpg,ISIC_0061437,BCC,FAM_ISIC_0061437,138f504d35e971111c3b77b2c89321f7043037569029cd87edf83e06fe0b92dd,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\BCC\ISIC_0061861.jpg,ISIC_0061861.jpg,ISIC_0061861,BCC,FAM_ISIC_0061861,da1e10a8e4b724e0841e486c485df08a4e1f06b6b46e4f51238321de02586a39,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\BCC\ISIC_0063677.jpg,ISIC_0063677.jpg,ISIC_0063677,BCC,FAM_ISIC_0063677,138f504d35e971111c3b77b2c89321f7043037569029cd87edf83e06fe0b92dd,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\BCC\ISIC_0064300.jpg,ISIC_0064300.jpg,ISIC_0064300,BCC,FAM_ISIC_0064300,5c785ebe9645d31ef8f634f6566c51d84f77294da278a9c5ee98bf25bcaa74eb,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\BCC\ISIC_0065140.jpg,ISIC_0065140.jpg,ISIC_0065140,BCC,FAM_ISIC_0065140,6dc74a50d593e444b16dc9b6d05da45e54832005e74dcd80ad7b0cded0fef899,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\BCC\ISIC_0066115.jpg,ISIC_0066115.jpg,ISIC_0066115,BCC,FAM_ISIC_0066115,5c785ebe9645d31ef8f634f6566c51d84f77294da278a9c5ee98bf25bcaa74eb,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\BCC\ISIC_0067341.jpg,ISIC_0067341.jpg,ISIC_0067341,BCC,FAM_ISIC_0067341,655ca6a8abb8b3c9d9d99d9f57dc699b4646e9e48a5ea43232a9932551086d67,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\BCC\ISIC_0070345.jpg,ISIC_0070345.jpg,ISIC_0070345,BCC,FAM_ISIC_0070345,243f7285d969cb5f05ed9684ee96580393a049b885ed8479da987cbab24012b8,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\BCC\ISIC_0071589.jpg,ISIC_0071589.jpg,ISIC_0071589,BCC,FAM_ISIC_0071589,6f7514fe782e1f1473bfc6fb0c8541ea824c2ebd6706d9d4cc293fbb859a1716,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\BCC\ISIC_0072994.jpg,ISIC_0072994.jpg,ISIC_0072994,BCC,FAM_ISIC_0072994,6dc74a50d593e444b16dc9b6d05da45e54832005e74dcd80ad7b0cded0fef899,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
