original_full_path,preprocessed_full_path,final_authoritative_label,split_assignment,vignette_crop_applied,crop_method,probable_vignette_flag,strong_circle_vignette_flag,vignette_detection_reason,border_dark_fraction,center_corner_contrast,circle_radius_ratio,crop_x1,crop_y1,crop_x2,crop_y2,crop_width,crop_height,crop_area_ratio,crop_confidence_status,output_image_width,output_image_height,processing_error
C:\SKIN CANCER v2\DS\NV\ISIC_0065845.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0065845.jpg,NV,val,False,no_crop,True,False,border_dark_1.000|contrast_198.7,1.0,198.74,0.3281,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0056577.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0056577.jpg,NV,train,False,no_crop,True,False,border_dark_1.000|contrast_198.3,1.0,198.29,0.3275,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0053719.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0053719.jpg,BCC,train,False,no_crop,True,True,border_dark_1.000|contrast_198.2,1.0,198.2,0.3686,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0062863.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0062863.jpg,NV,train,False,no_crop,True,False,border_dark_1.000|contrast_198.1,1.0,198.1,0.3482,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0063382.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0063382.jpg,BCC,train,False,no_crop,True,False,border_dark_1.000|contrast_198.0,1.0,198.05,0.3254,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0072841.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0072841.jpg,NV,train,False,no_crop,True,False,border_dark_1.000|contrast_198.0,1.0,197.98,0.3431,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0071464.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0071464.jpg,NV,train,False,no_crop,True,False,border_dark_1.000|contrast_197.9,1.0,197.94,0.3431,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0056218.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0056218.jpg,BCC,test,False,no_crop,True,False,border_dark_1.000|contrast_197.3,1.0,197.33,0.3484,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0062597.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0062597.jpg,NV,train,False,no_crop,True,False,border_dark_1.000|contrast_197.3,1.0,197.25,0.3448,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0056020.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0056020.jpg,BCC,train,False,no_crop,True,False,border_dark_1.000|contrast_197.1,1.0,197.05,0.3479,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0058489.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0058489.jpg,NV,test,False,no_crop,True,False,border_dark_1.000|contrast_197.0,1.0,197.04,0.321,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0061868.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0061868.jpg,NV,train,False,no_crop,True,False,border_dark_1.000|contrast_197.0,1.0,197.01,0.3283,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0070656.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0070656.jpg,BCC,train,False,no_crop,True,False,border_dark_1.000|contrast_197.0,1.0,196.95,0.3496,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0061841.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0061841.jpg,NV,test,False,no_crop,True,False,border_dark_1.000|contrast_196.9,1.0,196.88,0.3301,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0073066.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0073066.jpg,BCC,train,False,no_crop,True,False,border_dark_1.000|contrast_196.8,1.0,196.81,0.3284,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0068302.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0068302.jpg,BCC,test,False,no_crop,True,False,border_dark_1.000|contrast_196.6,1.0,196.65,0.3474,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\MEL\ISIC_0067200.jpg,C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0067200.jpg,MEL,test,False,no_crop,True,True,border_dark_1.000|contrast_196.6,1.0,196.57,0.3673,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0068944.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0068944.jpg,NV,test,False,no_crop,True,False,border_dark_1.000|contrast_196.5,1.0,196.54,0.3279,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0061272.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0061272.jpg,NV,train,False,no_crop,True,False,border_dark_1.000|contrast_196.5,1.0,196.5,0.3455,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0068585.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0068585.jpg,BCC,train,False,no_crop,True,False,border_dark_1.000|contrast_196.5,1.0,196.47,0.3482,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0066736.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0066736.jpg,BCC,train,False,no_crop,True,True,border_dark_1.000|contrast_196.3,1.0,196.27,0.3642,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0065428.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0065428.jpg,BCC,train,False,no_crop,True,False,border_dark_1.000|contrast_196.2,1.0,196.21,0.3278,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0069807.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0069807.jpg,BCC,train,False,no_crop,True,False,border_dark_1.000|contrast_196.1,1.0,196.06,0.3318,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0063869.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0063869.jpg,NV,train,False,no_crop,True,False,border_dark_1.000|contrast_196.0,1.0,195.98,0.323,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0054537.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0054537.jpg,NV,test,False,no_crop,True,False,border_dark_1.000|contrast_195.9,1.0,195.86,0.3475,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0059334.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0059334.jpg,BCC,train,False,no_crop,True,True,border_dark_1.000|contrast_195.8,1.0,195.8,0.3663,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0055395.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0055395.jpg,NV,test,False,no_crop,True,False,border_dark_1.000|contrast_195.8,1.0,195.8,0.3278,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
