original_full_path,preprocessed_full_path,final_authoritative_label,split_assignment,vignette_crop_applied,crop_method,probable_vignette_flag,strong_circle_vignette_flag,vignette_detection_reason,border_dark_fraction,center_corner_contrast,circle_radius_ratio,crop_x1,crop_y1,crop_x2,crop_y2,crop_width,crop_height,crop_area_ratio,crop_confidence_status,output_image_width,output_image_height,processing_error
C:\SKIN CANCER v2\DS\NV\ISIC_0000018_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000018_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-47.01,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000019_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000019_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-102.93,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000020_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000020_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-52.11,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000024_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000024_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-8.16,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000027_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000027_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-36.51,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000028_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000028_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-109.28,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000032_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000032_downsampled.jpg,NV,train,False,no_crop,True,False,border_dark_0.161,0.16117,-35.66,0.8324,0,0,1024,768,1024,768,1.0,rejected_all_modes,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000034_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000034_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.02618,-26.15,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000037_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000037_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.02879,-54.32,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000038_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000038_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-109.57,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000047_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000047_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-74.44,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000050_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000050_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-15.86,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000051_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000051_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-64.66,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000052_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000052_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-109.46,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000053_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000053_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-89.03,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000055_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000055_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-49.38,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000057_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000057_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-35.63,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000059_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000059_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-99.35,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000060_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000060_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-90.39,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000062_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000062_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-33.23,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000063_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000063_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-127.82,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000064_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000064_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-115.22,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000065_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000065_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.01825,-102.02,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000066.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000066.jpg,NV,train,False,no_crop,False,False,none,0.0,-169.04,,0,0,962,722,962,722,1.0,no_vignette_detected,962,722,
C:\SKIN CANCER v2\DS\NV\ISIC_0000068.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000068.jpg,NV,train,False,no_crop,False,False,none,0.0029,-89.23,,0,0,962,722,962,722,1.0,no_vignette_detected,962,722,
C:\SKIN CANCER v2\DS\NV\ISIC_0000071.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000071.jpg,NV,train,True,circle_fov,True,True,border_dark_0.985|contrast_120.8,0.98508,120.78,0.5146,244,119,757,633,513,514,0.33638,high_circle_fov,513,514,
C:\SKIN CANCER v2\DS\NV\ISIC_0000072.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000072.jpg,NV,train,True,circle_fov,True,True,border_dark_0.511|contrast_78.6,0.51097,78.55,0.704,179,33,882,736,703,703,0.63047,high_circle_fov,703,703,
C:\SKIN CANCER v2\DS\NV\ISIC_0000073.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000073.jpg,NV,train,False,no_crop,False,False,none,0.0,-151.84,,0,0,1022,767,1022,767,1.0,no_vignette_detected,1022,767,
C:\SKIN CANCER v2\DS\NV\ISIC_0000079_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000079_downsampled.jpg,NV,train,False,no_crop,True,False,border_dark_0.284|contrast_99.1,0.28395,99.09,0.7577,0,0,1024,768,1024,768,1.0,rejected_all_modes,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000177_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000177_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.0002,-39.14,,0,0,1024,673,1024,673,1.0,no_vignette_detected,1024,673,
C:\SKIN CANCER v2\DS\NV\ISIC_0000179_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000179_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.0,-78.76,,0,0,1024,711,1024,711,1.0,no_vignette_detected,1024,711,
C:\SKIN CANCER v2\DS\NV\ISIC_0000181_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000181_downsampled.jpg,NV,train,False,no_crop,False,False,none,5e-05,-69.91,,0,0,1024,716,1024,716,1.0,no_vignette_detected,1024,716,
C:\SKIN CANCER v2\DS\NV\ISIC_0000182_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000182_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.0,-86.02,,0,0,1024,716,1024,716,1.0,no_vignette_detected,1024,716,
C:\SKIN CANCER v2\DS\NV\ISIC_0000185_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000185_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.0,-101.69,,0,0,1024,690,1024,690,1.0,no_vignette_detected,1024,690,
C:\SKIN CANCER v2\DS\NV\ISIC_0000186_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000186_downsampled.jpg,NV,train,False,no_crop,False,False,none,2e-05,-50.66,,0,0,1024,675,1024,675,1.0,no_vignette_detected,1024,675,
C:\SKIN CANCER v2\DS\NV\ISIC_0000188_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000188_downsampled.jpg,NV,train,False,no_crop,False,False,none,9e-05,-73.21,,0,0,1024,706,1024,706,1.0,no_vignette_detected,1024,706,
C:\SKIN CANCER v2\DS\NV\ISIC_0000189_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000189_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.00308,-84.19,,0,0,1024,716,1024,716,1.0,no_vignette_detected,1024,716,
C:\SKIN CANCER v2\DS\NV\ISIC_0000191_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000191_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.06394,-93.34,,0,0,1024,716,1024,716,1.0,no_vignette_detected,1024,716,
C:\SKIN CANCER v2\DS\NV\ISIC_0000192_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000192_downsampled.jpg,NV,train,False,no_crop,False,False,none,5e-05,-115.55,,0,0,1024,716,1024,716,1.0,no_vignette_detected,1024,716,
C:\SKIN CANCER v2\DS\NV\ISIC_0000193_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000193_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.0,-87.48,,0,0,1024,682,1024,682,1.0,no_vignette_detected,1024,682,
C:\SKIN CANCER v2\DS\NV\ISIC_0000196_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000196_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.0,-109.98,,0,0,1024,710,1024,710,1.0,no_vignette_detected,1024,710,
C:\SKIN CANCER v2\DS\NV\ISIC_0000197_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000197_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.0,-94.28,,0,0,1024,716,1024,716,1.0,no_vignette_detected,1024,716,
C:\SKIN CANCER v2\DS\NV\ISIC_0000198.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000198.jpg,NV,train,False,no_crop,False,False,none,0.0,-113.86,,0,0,725,542,725,542,1.0,no_vignette_detected,725,542,
C:\SKIN CANCER v2\DS\NV\ISIC_0000199.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000199.jpg,NV,train,False,no_crop,False,False,none,0.0,-166.36,,0,0,718,542,718,542,1.0,no_vignette_detected,718,542,
C:\SKIN CANCER v2\DS\NV\ISIC_0000200.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000200.jpg,NV,train,False,no_crop,False,False,none,0.0,-145.39,,0,0,962,670,962,670,1.0,no_vignette_detected,962,670,
C:\SKIN CANCER v2\DS\NV\ISIC_0000201_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000201_downsampled.jpg,NV,train,False,no_crop,False,False,none,7e-05,-142.55,,0,0,1024,692,1024,692,1.0,no_vignette_detected,1024,692,
C:\SKIN CANCER v2\DS\NV\ISIC_0000202_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000202_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.0,-76.01,,0,0,1024,716,1024,716,1.0,no_vignette_detected,1024,716,
C:\SKIN CANCER v2\DS\NV\ISIC_0000204_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000204_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.00019,-142.47,,0,0,1024,715,1024,715,1.0,no_vignette_detected,1024,715,
C:\SKIN CANCER v2\DS\NV\ISIC_0000206_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000206_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.0,-87.77,,0,0,1024,716,1024,716,1.0,no_vignette_detected,1024,716,
C:\SKIN CANCER v2\DS\NV\ISIC_0000207_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000207_downsampled.jpg,NV,train,False,no_crop,False,False,none,0.00456,-89.98,,0,0,1024,675,1024,675,1.0,no_vignette_detected,1024,675,
C:\SKIN CANCER v2\DS\NV\ISIC_0000209.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000209.jpg,NV,train,False,no_crop,False,False,none,0.02316,-110.73,,0,0,722,542,722,542,1.0,no_vignette_detected,722,542,
C:\SKIN CANCER v2\DS\NV\ISIC_0000212.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000212.jpg,NV,train,False,no_crop,True,False,border_dark_0.375,0.37496,-94.95,0.8168,0,0,722,542,722,542,1.0,rejected_all_modes,722,542,
C:\SKIN CANCER v2\DS\NV\ISIC_0000213.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000213.jpg,NV,train,False,no_crop,False,False,none,0.0,-109.95,,0,0,718,542,718,542,1.0,no_vignette_detected,718,542,
C:\SKIN CANCER v2\DS\NV\ISIC_0000214.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000214.jpg,NV,train,False,no_crop,False,False,none,0.01277,-123.07,,0,0,958,642,958,642,1.0,no_vignette_detected,958,642,
C:\SKIN CANCER v2\DS\NV\ISIC_0000215.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000215.jpg,NV,train,False,no_crop,False,False,none,0.0,-101.99,,0,0,962,674,962,674,1.0,no_vignette_detected,962,674,
C:\SKIN CANCER v2\DS\NV\ISIC_0000216.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000216.jpg,NV,train,False,no_crop,False,False,none,0.0,-123.35,,0,0,949,626,949,626,1.0,no_vignette_detected,949,626,
C:\SKIN CANCER v2\DS\NV\ISIC_0000217.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000217.jpg,NV,train,False,no_crop,False,False,none,0.0001,-105.72,,0,0,959,638,959,638,1.0,no_vignette_detected,959,638,
C:\SKIN CANCER v2\DS\NV\ISIC_0000218_downsampled.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000218_downsampled.jpg,NV,train,False,no_crop,False,False,none,2e-05,-92.33,,0,0,1024,692,1024,692,1.0,no_vignette_detected,1024,692,
C:\SKIN CANCER v2\DS\NV\ISIC_0000219.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000219.jpg,NV,train,False,no_crop,False,False,none,0.001,-84.74,,0,0,962,674,962,674,1.0,no_vignette_detected,962,674,
C:\SKIN CANCER v2\DS\NV\ISIC_0000220.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000220.jpg,NV,train,False,no_crop,False,False,none,0.0,-54.02,,0,0,962,674,962,674,1.0,no_vignette_detected,962,674,
C:\SKIN CANCER v2\DS\NV\ISIC_0000221.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000221.jpg,NV,train,False,no_crop,False,False,none,0.0,-89.45,,0,0,962,671,962,671,1.0,no_vignette_detected,962,671,
C:\SKIN CANCER v2\DS\NV\ISIC_0000222.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000222.jpg,NV,train,False,no_crop,False,False,none,4e-05,-133.72,,0,0,966,645,966,645,1.0,no_vignette_detected,966,645,
C:\SKIN CANCER v2\DS\NV\ISIC_0000223.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000223.jpg,NV,train,False,no_crop,False,False,none,0.0,-94.16,,0,0,959,634,959,634,1.0,no_vignette_detected,959,634,
C:\SKIN CANCER v2\DS\NV\ISIC_0000226.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000226.jpg,NV,train,False,no_crop,False,False,none,4e-05,-128.69,,0,0,964,672,964,672,1.0,no_vignette_detected,964,672,
C:\SKIN CANCER v2\DS\NV\ISIC_0000229.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000229.jpg,NV,train,False,no_crop,True,False,border_dark_0.147,0.14749,-97.42,0.8935,0,0,962,641,962,641,1.0,rejected_all_modes,962,641,
C:\SKIN CANCER v2\DS\NV\ISIC_0000230.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000230.jpg,NV,train,False,no_crop,False,False,none,2e-05,-125.56,,0,0,962,674,962,674,1.0,no_vignette_detected,962,674,
C:\SKIN CANCER v2\DS\NV\ISIC_0000231.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000231.jpg,NV,train,False,no_crop,False,False,none,0.0,-118.84,,0,0,962,723,962,723,1.0,no_vignette_detected,962,723,
C:\SKIN CANCER v2\DS\NV\ISIC_0000232.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000232.jpg,NV,train,False,no_crop,False,False,none,0.00092,-102.8,,0,0,960,645,960,645,1.0,no_vignette_detected,960,645,
C:\SKIN CANCER v2\DS\NV\ISIC_0000233.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000233.jpg,NV,train,False,no_crop,False,False,none,0.00012,-87.01,,0,0,962,674,962,674,1.0,no_vignette_detected,962,674,
C:\SKIN CANCER v2\DS\NV\ISIC_0000235.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000235.jpg,NV,train,False,no_crop,False,False,none,0.0,-120.76,,0,0,724,542,724,542,1.0,no_vignette_detected,724,542,
C:\SKIN CANCER v2\DS\NV\ISIC_0000236.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000236.jpg,NV,train,False,no_crop,False,False,none,0.0,-139.8,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000240.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000240.jpg,NV,train,False,no_crop,False,False,none,0.00288,-16.18,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000242.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000242.jpg,NV,train,True,circle_fov,True,True,border_dark_0.216|contrast_76.6,0.2157,76.6,0.7433,147,38,889,768,742,730,0.68876,high_circle_fov,742,730,
C:\SKIN CANCER v2\DS\NV\ISIC_0000243.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000243.jpg,NV,train,False,no_crop,False,False,none,0.0,-81.02,,0,0,576,768,576,768,1.0,no_vignette_detected,576,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000244.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000244.jpg,NV,train,False,no_crop,False,False,none,0.0,-62.79,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000245.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000245.jpg,NV,train,False,no_crop,False,False,none,3e-05,32.95,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000246.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000246.jpg,NV,train,False,no_crop,False,False,none,0.0,-18.47,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000249.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000249.jpg,NV,train,True,circle_fov,True,True,border_dark_1.000|contrast_143.9,1.0,143.86,0.6052,242,139,847,743,605,604,0.46466,high_circle_fov,605,604,
C:\SKIN CANCER v2\DS\NV\ISIC_0000250.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000250.jpg,NV,train,False,no_crop,False,False,none,0.0,-89.19,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000252.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000252.jpg,NV,train,True,circle_fov,True,True,border_dark_0.594|contrast_78.5,0.59372,78.49,0.6743,45,120,550,625,505,505,0.5765,high_circle_fov,505,505,
C:\SKIN CANCER v2\DS\NV\ISIC_0000253.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000253.jpg,NV,train,True,circle_fov,True,True,border_dark_0.227|contrast_85.5,0.22737,85.54,0.7383,0,102,552,655,552,553,0.69005,high_circle_fov,552,553,
C:\SKIN CANCER v2\DS\NV\ISIC_0000254.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000254.jpg,NV,train,True,circle_fov,True,True,border_dark_0.236|contrast_69.7,0.23638,69.67,0.741,150,15,891,756,741,741,0.69819,high_circle_fov,741,741,
C:\SKIN CANCER v2\DS\NV\ISIC_0000255.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000255.jpg,NV,train,True,circle_fov,True,True,border_dark_0.295|contrast_71.5,0.2952,71.51,0.7415,118,21,859,761,741,740,0.69725,high_circle_fov,741,740,
C:\SKIN CANCER v2\DS\NV\ISIC_0000256.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000256.jpg,NV,train,False,no_crop,False,False,none,0.0,-59.35,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000258.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000258.jpg,NV,train,False,no_crop,False,False,none,0.00985,-22.15,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000259.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000259.jpg,NV,train,False,no_crop,False,False,none,0.0,2.19,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000260.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000260.jpg,NV,train,False,no_crop,False,False,none,0.0,-80.75,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000261.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000261.jpg,NV,train,False,no_crop,False,False,none,0.0,-47.16,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000262.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000262.jpg,NV,train,False,no_crop,False,False,none,0.0,-33.35,,0,0,576,768,576,768,1.0,no_vignette_detected,576,768,
C:\SKIN CANCER v2\DS\NV\ISIC_0000263.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000263.jpg,NV,train,False,no_crop,False,False,none,0.0,-66.36,,0,0,1024,768,1024,768,1.0,no_vignette_detected,1024,768,
